Name
Viktor Vekselberg
Arkadiy Volozh
Vadim Yakunin
Vladimir Yevtushenkov
Gavril Yushvayev
Andrey Kosogov
Yuriy Kovalchuk*
Andrey Kozitsyn
Lev Kvetnoy
Vladimir Lisin
Anatoliy Lomakin
Ziyavudin Magomedov
Igor Makarov
Iskander Makhmudov
Aleksandr Mamut
Andrey Melnichenko
Leonid Mikhelson
Yuriy Milner
Boris Mints
Andrey Molchanov
Aleksey Mordashov
Aleksandr Nesis
God Nisanov
Aleksandr Ponomarenko
Sergey Popov
Vladimir Potanin
Mikhail Prokhorov
Dmitriy Pumpyanskiy
Megdet Rakhimkulov
Andrey Rappoport
Viktor Rashnikov
Arkadiy Rotenberg*
Boris Rotenberg*
Dmitriy Rybolovlev
Ayrat Shaymiyev
Radik Shaymiyev
Kirill Shamalov
Yuriy Shefler
Albert Shigabutdinov
Mikhail Shishkhanov
Leonid Simanovskiy
Andrey Skoch
Aleksandr Skorobogatko
Rustem Sulteyev
Aleksandr Svetakov
Gennadiy Timchenko*
Oleg Tinkov
Roman Trotsenko
Alisher Usmanov
Aleksandr Abramov
Roman Abramovich
Araz Agalarov
Farkhad Akhmedov
Vagit Alekperov
Igor Altushkin
Aleksey Ananyev
Dmitriy Ananyev .
Vasiliy Anisimov
Roman Avdeyev
Petr Aven
Yelena Baturina
Aleksey Bogachev
Vladimir Bogdanov
Leonid Boguslavskiy
Andrey Bokarev
Oleg Boyko
Nikolay Buynov
Oleg Deripaska
Aleksandr Dzhaparidze
Leonid Fedun
Gleb Fetisov
Mikhail Fridman
Filaret Galchev
Sergey Galitskiy
Valentin Gapontsev
Sergey Gordeyev
Andrey Guryev
Yuriy Gushchin
Mikhail Gutseriyev
Sait-Salam Gutseriyev
Zarakh Iiyev
Dmitriy Kamenshchik
Vyacheslav Kantor
Samvel Karapetyan
Yevgeniy Kasperskiy
Sergey Katsiyev
Suleyman Kerimov
Igor Kesayev
Danil Khachaturov
German Khan
Viktor Kharitonin
Aleksandr Klyachin
Petr Kondrashev
